timestamp,avg,min_v,max_v,nighttime,time_diff_min,T_diff,type,ID
2022-12-07 18:00:00+00:00,63.8,63.2,64.2,False,15,1.0,forward,S3C1
2022-12-07 18:00:00+00:00,63.0,62.6,63.4,False,15,0.7999999999999972,forward,S3C1
2022-12-07 18:15:00+00:00,63.4,63.3,63.4,False,15,0.10000000000000142,forward,S3C1
2022-12-07 18:15:00+00:00,62.6,62.4,62.8,False,15,0.3999999999999986,forward,S3C1
2022-12-07 18:30:00+00:00,63.2,62.9,63.4,False,15,0.5,forward,S3C1
2022-12-07 18:30:00+00:00,63.8,63.6,64.1,False,15,0.4999999999999929,forward,S3C1
2022-12-07 18:45:00+00:00,63.8,63.6,63.9,False,15,0.29999999999999716,forward,S3C1
2022-12-07 18:45:00+00:00,63.1,62.8,63.3,False,15,0.5,forward,S3C1
2022-12-07 19:00:00+00:00,63.5,63.4,63.6,False,15,0.20000000000000284,forward,S3C1
2022-12-07 19:00:00+00:00,62.6,62.6,62.7,False,15,0.10000000000000142,forward,S3C1
2022-12-07 19:15:00+00:00,62.8,62.2,63.4,False,15,1.1999999999999957,forward,S3C1
2022-12-07 19:15:00+00:00,62.1,61.6,62.6,False,15,1.0,forward,S3C1
2022-12-07 19:30:00+00:00,61.5,60.9,62.1,False,15,1.2000000000000028,forward,S3C1
2022-12-07 19:30:00+00:00,60.8,60.2,61.4,False,15,1.1999999999999957,forward,S3C1
2022-12-07 19:45:00+00:00,60.6,60.3,60.8,False,15,0.5,forward,S3C1
2022-12-07 19:45:00+00:00,60.0,59.7,60.3,False,15,0.5999999999999943,forward,S3C1
2022-12-07 20:00:00+00:00,59.3,57.9,60.8,False,15,2.8999999999999986,forward,S3C1
2022-12-07 20:00:00+00:00,59.9,58.4,61.6,False,15,3.200000000000003,forward,S3C1
2022-12-07 20:15:00+00:00,57.5,54.9,60.6,False,15,5.700000000000003,forward,S3C1
2022-12-07 20:15:00+00:00,56.9,54.6,59.9,False,15,5.299999999999997,forward,S3C1
2022-12-07 20:30:00+00:00,58.1,55.6,60.9,False,15,5.299999999999997,forward,S3C1
2022-12-07 20:30:00+00:00,57.3,55.0,59.9,False,15,4.899999999999999,forward,S3C1
2022-12-07 20:45:00+00:00,57.7,54.8,60.8,False,15,6.0,forward,S3C1
2022-12-07 20:45:00+00:00,57.2,54.4,60.0,False,15,5.600000000000001,forward,S3C1
